,AAPL_Close,VIX,GDP,FedRate,CPI,Unemployment,VIX_Rolling_30,CPI_Rolling_90,GDP_Change,CPI_Change,VIX_Change,VIX_FedRate_Interaction,GDP_Lag_1Q,CPI_Lag_1M,FedRate_Lag_1M,Unemployment_Lag_1M
2020-04-01,58.46380615234375,5.746600517168828,-2.109767006096645,-1.0889216944659814,-1.6849424040416048,4.209349571445967,5.473956278643849,-1.4766092878030812,-24.089374777272106,-9.316677692465442,0.9743487793018849,-1.0685016014545807,-1.3395603951519806,-1.5312789480724458,-0.8055503621486798,-0.24883037683055018
2020-04-02,59.439369201660156,4.77548050542007,-2.109767006096645,-1.0889216944659814,-1.6849424040416048,4.209349571445967,5.542416467782132,-1.4782680606557588,-0.05227334548023093,-0.13799393335649032,-1.656951284319409,-1.0762622476410186,-1.3395603951519806,-1.5312789480724458,-0.8055503621486798,-0.24883037683055018
2020-04-03,58.585140228271484,4.126488171968314,-2.109767006096645,-1.0889216944659814,-1.6849424040416048,4.209349571445967,5.614374974070018,-1.4799268335084308,-0.05227334548023093,-0.13799393335649032,-1.2467649017223077,-1.081448630185603,-1.3395603951519806,-1.5312789480724458,-0.8055503621486798,-0.24883037683055018
2020-04-04,58.585140228271484,4.126488171968314,-2.109767006096645,-1.0889216944659814,-1.6849424040416048,4.209349571445967,5.649261004842345,-1.4815856063611084,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-1.081448630185603,-1.3395603951519806,-1.5312789480724458,-0.8055503621486798,-0.24883037683055018
2020-04-05,58.585140228271484,4.126488171968314,-2.109767006096645,-1.0889216944659814,-1.6849424040416048,4.209349571445967,5.6728746710874605,-1.4832443792137806,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-1.081448630185603,-1.3395603951519806,-1.5312789480724458,-0.8055503621486798,-0.24883037683055018
2020-04-06,63.69596862792969,3.880155737568944,-2.109767006096645,-1.0889216944659814,-1.6849424040416048,4.209349571445967,5.6889086548088,-1.4849031520664555,-0.05227334548023093,-0.13799393335649032,-0.5280456969492544,-1.0834171807709985,-1.3395603951519806,-1.5312789480724458,-0.8055503621486798,-0.24883037683055018
2020-04-07,62.95822525024414,4.110697847534296,-2.109767006096645,-1.0889216944659814,-1.6849424040416048,4.209349571445967,5.712036450622565,-1.486561924919133,-0.05227334548023093,-0.13799393335649032,0.46677601804021845,-1.0815748175976827,-1.3395603951519806,-1.5312789480724458,-0.8055503621486798,-0.24883037683055018
2020-04-08,64.56959533691406,3.581713545922969,-2.109767006096645,-1.0889216944659814,-1.6849424040416048,4.209349571445967,5.658055419048806,-1.488220697771805,-0.05227334548023093,-0.13799393335649032,-1.1103496052442576,-1.085802163294733,-1.3395603951519806,-1.5312789480724458,-0.8055503621486798,-0.24883037683055018
2020-04-09,65.03555297851562,3.316431999368058,-2.109767006096645,-1.0889216944659814,-1.6849424040416048,4.209349571445967,5.630700491171029,-1.489879470624483,-0.05227334548023093,-0.13799393335649032,-0.6102487616410667,-1.087922144551114,-1.3395603951519806,-1.5312789480724458,-0.8055503621486798,-0.24883037683055018
2020-04-10,65.03555297851562,3.316431999368058,-2.109767006096645,-1.0889216944659814,-1.6849424040416048,4.209349571445967,5.571277614385342,-1.4915382434771576,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-1.087922144551114,-1.3395603951519806,-1.5312789480724458,-0.8055503621486798,-0.24883037683055018
